year,month,occupancy,dateval
1980,1,276986,7305
1980,2,260633,7336
1980,3,291551,7365
1980,4,275383,7396
1980,5,275302,7426
1980,6,231693,7457
1980,7,238829,7487
1980,8,274215,7518
1980,9,277808,7549
1980,10,299060,7579
1980,11,286629,7610
1980,12,232313,7640
1981,1,294053,7671
1981,2,267510,7702
1981,3,309739,7730
1981,4,280733,7761
1981,5,287298,7791
1981,6,235672,7822
1981,7,256449,7852
1981,8,288997,7883
1981,9,290789,7914
1981,10,321898,7944
1981,11,291834,7975
1981,12,241380,8005
1982,1,295469,8036
1982,2,258200,8067
1982,3,306102,8095
1982,4,281480,8126
1982,5,283101,8156
1982,6,237414,8187
1982,7,274834,8217
1982,8,299340,8248
1982,9,300383,8279
1982,10,340862,8309
1982,11,318794,8340
1982,12,265740,8370
1983,1,322656,8401
1983,2,281563,8432
1983,3,323461,8460
1983,4,312579,8491
1983,5,310784,8521
1983,6,262785,8552
1983,7,273754,8582
1983,8,320036,8613
1983,9,310336,8644
1983,10,342206,8674
1983,11,320052,8705
1983,12,265582,8735
1984,1,326988,8766
1984,2,300713,8797
1984,3,346414,8826
1984,4,317325,8857
1984,5,326208,8887
1984,6,270657,8918
1984,7,278158,8948
1984,8,324584,8979
1984,9,321801,9010
1984,10,343542,9040
1984,11,354040,9071
1984,12,278179,9101
1985,1,330246,9132
1985,2,307344,9163
1985,3,375874,9191
1985,4,335309,9222
1985,5,339271,9252
1985,6,280264,9283
1985,7,293689,9313
1985,8,341161,9344
1985,9,345097,9375
1985,10,368712,9405
1985,11,369403,9436
1985,12,288384,9466
1986,1,340981,9497
1986,2,319072,9528
1986,3,374214,9556
1986,4,344529,9587
1986,5,337271,9617
1986,6,281016,9648
1986,7,282224,9678
1986,8,320984,9709
1986,9,325426,9740
1986,10,366276,9770
1986,11,380296,9801
1986,12,300727,9831
1987,1,359326,9862
1987,2,327610,9893
1987,3,383563,9921
1987,4,352405,9952
1987,5,329351,9982
1987,6,294486,10013
1987,7,333454,10043
1987,8,334339,10074
1987,9,358000,10105
1987,10,396057,10135
1987,11,386976,10166
1987,12,307155,10196
1988,1,363909,10227
1988,2,344700,10258
1988,3,397561,10287
1988,4,376791,10318
1988,5,337085,10348
1988,6,299252,10379
1988,7,323136,10409
1988,8,329091,10440
1988,9,346991,10471
1988,10,461999,10501
1988,11,436533,10532
1988,12,360372,10562
1989,1,415467,10593
1989,2,382110,10624
1989,3,432197,10652
1989,4,424254,10683
1989,5,386728,10713
1989,6,354508,10744
1989,7,375765,10774
1989,8,367986,10805
1989,9,402378,10836
1989,10,426516,10866
1989,11,433313,10897
1989,12,338461,10927
1990,1,416834,10958
1990,2,381099,10989
1990,3,445673,11017
1990,4,412408,11048
1990,5,393997,11078
1990,6,348241,11109
1990,7,380134,11139
1990,8,373688,11170
1990,9,393588,11201
1990,10,434192,11231
1990,11,430731,11262
1990,12,344468,11292
1991,1,411891,11323
1991,2,370497,11354
1991,3,437305,11382
1991,4,411270,11413
1991,5,385495,11443
1991,6,341273,11474
1991,7,384217,11504
1991,8,373223,11535
1991,9,415771,11566
1991,10,448634,11596
1991,11,454341,11627
1991,12,350297,11657
1992,1,419104,11688
1992,2,398027,11719
1992,3,456059,11748
1992,4,430052,11779
1992,5,399757,11809
1992,6,362731,11840
1992,7,384896,11870
1992,8,385349,11901
1992,9,432289,11932
1992,10,468891,11962
1992,11,442702,11993
1992,12,370178,12023
1993,1,439400,12054
1993,2,393900,12085
1993,3,468700,12113
1993,4,438800,12144
1993,5,430100,12174
1993,6,366300,12205
1993,7,391000,12235
1993,8,380900,12266
1993,9,431400,12297
1993,10,465400,12327
1993,11,471500,12358
1993,12,387500,12388
1994,1,446400,12419
1994,2,421500,12450
1994,3,504800,12478
1994,4,492071,12509
1994,5,421253,12539
1994,6,396682,12570
1994,7,428000,12600
1994,8,421900,12631
1994,9,465600,12662
1994,10,525793,12692
1994,11,499855,12723
1994,12,435287,12753
1995,1,479499,12784
1995,2,473027,12815
1995,3,554410,12843
1995,4,489574,12874
1995,5,462157,12904
1995,6,420331,12935
