EDT,kW_Gen,Cloud_Cover
"Sunday, October 5, 2014",0.5534101623,4.75
"Sunday, October 12, 2014",0.4870931108,5.3435748302
"Sunday, October 19, 2014",0.733748438,2.2857142857
"Sunday, October 26, 2014",0.5312504099,4.915070616
"Sunday, November 2, 2014",0.47105456,5.5191032609
"Sunday, November 9, 2014",0.3941787277,5.7220910477
"Sunday, November 16, 2014",0.3297397143,5.0208087132
"Sunday, November 23, 2014",0.1882974858,6.5714285714
"Sunday, November 30, 2014",0.261525583,6.0285185594
"Sunday, December 7, 2014",0.3203839947,4.5232838941
"Sunday, December 14, 2014",0.27252035,5.1967499832
"Sunday, December 21, 2014",0.2318744831,6.2679345291
"Sunday, December 28, 2014",0.1851007869,6.4007236448
"Sunday, January 4, 2015",0.3390673748,4.4864504887
"Sunday, January 11, 2015",0.2581842447,6.0822088118
"Sunday, January 18, 2015",0.3689676671,5.2327308133
"Sunday, January 25, 2015",0.4521575297,4.3945011266
"Sunday, February 1, 2015",0.5235276839,5.0056142294
"Sunday, February 8, 2015",0.4985587089,4.4897905403
"Sunday, February 15, 2015",0.4224825526,4.7135760007
"Sunday, February 22, 2015",0.17299999,6.5579212646
"Sunday, March 1, 2015",0.4994984708,5.8161062352
"Sunday, March 8, 2015",0.4607463169,6.2425259693
"Sunday, March 15, 2015",0.6400241686,5.8226522717
"Sunday, March 22, 2015",0.5941627683,5.9496761638
"Sunday, March 29, 2015",0.8446479069,3.3049685394
"Sunday, April 5, 2015",0.6629752623,6.010093227
"Sunday, April 12, 2015",0.5012889146,6.1539091864
"Sunday, April 19, 2015",0.6312348003,4.9402061825
"Sunday, April 26, 2015",0.5728168875,5.4302086911
"Sunday, May 3, 2015",0.7914127311,3.9700812896
"Sunday, May 10, 2015",0.6849242869,5.5108133742
"Sunday, May 17, 2015",0.7083748635,4.9016026505
"Sunday, May 24, 2015",0.7057095344,4.3529190592
"Sunday, May 31, 2015",0.4944598626,5.7308915233
"Sunday, June 7, 2015",0.6963111411,4.5500637558
"Sunday, June 14, 2015",0.7835210817,4.2154977289
"Sunday, June 21, 2015",0.6669267417,4.9637984527
"Sunday, June 28, 2015",0.6214375846,5.4354196842
"Sunday, July 5, 2015",0.7013611328,4.1421313475
"Sunday, July 12, 2015",0.5593143412,5.6072488809
"Sunday, July 19, 2015",0.648016027,5.4060127692
